"title"	"company_logo"	"currency"	"minimum-salary"	"maximum-salary"	"jobType"	"experienceLevel"	"description"	"role"	"skills"	"country"	"city"
"Front-end Software Engineer"	"https://i.stack.imgur.com/3CuMC.png"				"Full-time"	"Mid-Level, Senior"	""	"Frontend Developer"	""	"unitedstate"	"
                        –
Mountain View, CA                    "
"Senior Software Engineer (Frontend)"	"https://i.stack.imgur.com/UI3Jl.png"				"Full-time"	"Mid-Level, Senior"	""	"Frontend Developer"	""	"unitedstate"	"
                        –
Ann Arbor, MI                    "
"JavaScript Full Stack Engineer"	"https://cdn.sstatic.net/careers/Img/ico-no-company-logo.svg?v=15d9692a3221"				"Full-time"	"Frontend Developer, Full Stack Developer"	"Full Beaker is looking for a passionate and enthusiastic JavaScript Full Stack Engineer to join our team! We are a small but mighty company that focuses on helping consumers make informed decisions. We are currently focused on two areas: helping people obtain or refinance mortgages, and helping nurses find jobs. We maintain a highly-collaborative environment where everyone is encouraged to take initiative and own the solutions to the problems they identify. We believe in hiring smart people and supporting them while they do great things. What you'll do on a day-to-day basis The best things about this job: Things you should know Here’s what you can expect from our interview process: You'll spend some time talking with our Head of Product, Product Managers, Software Engineers, our CEO, and our founder. During those conversations, we'll be looking to assess whether you're a good cultural fit and that our values are aligned. We encourage you to come prepared with as many questions as possible to determine whether we're a good fit for you! We will assess your ability to act independently and lead to the development of new products. This includes cross-team communication and collaboration, planning and organization, and the ability to move seamlessly from strategy down to the details."	"null"	"javascript,typescript,react,vue,angular"	"unitedstate"	"
                        –
Bellevue, WA                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"Senior Software Engineer"	"https://grnhse-ghr-prod-s3.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/472/200/original/Casana_Symbol_RGB_Mulitcolor.png"				"Full-time"	"Backend Developer"	"Casana is revolutionizing healthcare by creating clinical-grade technology that unobtrusively checks a person’s health in their home. Backed by a top-ranked VC and led by a CEO who founded and led a tech unicorn to a successful IPO, Casana is designing and building the home health platform of the future. We are seeking bright, driven candidates to join our team, shape our culture, and create technology that transforms healthcare. We offer competitive salaries, excellent benefits, unlimited paid time off, and an opportunity to work in a fast-paced, purpose-driven, collaborative environment. We’re currently looking for a Senior Software Engineer to join our team."	"null"	"rest,php,python,c"	"unitedstate"	"
                        –
Boston, MA                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"Senior Software Engineer - PCF, Spring 7-10 years"	"https://i.stack.imgur.com/jmv4I.jpg"				"Full-time"	"Senior, Lead"	""	"IT Consulting, Technology Consulting, Technology Staffing"	""	"unitedstate"	"
                        –
Dearborn, MI                    "
"App Developer (React, RN, TypeScript, Mobx)"	"https://i.stack.imgur.com/rba9Y.png"				"Full-time"	"Senior"	"Do you do your own dishes? We've got a job for you (and it's not dishwashing ;-) ). Do you put them in the sink and expect someone else to do them? Move on, please. Do you get pissed (in a professional way) when someone else leaves their dishes in the sink? Please apply! TrainerRoad is looking to expand our engineering group. We're looking for smart software engineers who ""get things done."" They will be full-time employees of TrainerRoad and will join a cross-functional pod on an established remote team. Areas of work include TypeScript, React, Electron, and React Native. App Development We've recently re-written our mobile and desktop apps in React/RN with TypeScript. It's a solid codebase (it can always be better) and we strive to add to it without making it exponentially more complicated. Our goal was to increase the speed of app development, and we did this through hot reloading, fast computers, a great build chain, automated testing, clear and well-defined issues, and a dedicated QA team that tests every PR. We track what our users do, learn from that, and improve the product. We want this loop to be as quick as possible. Our website is built in Angular 2+ and opportunity exists to work on the web in Angular, although we will be migrating to React in the future. This job is primarily TypeScript development using React (on Electron or web) and React Native. Engineering Principles we believe in - Write good code, but not necessarily great code. Good code ships, great code gets ""tinkered"" with and debated about ad nauseam. - Good code is understandable. We admit it, we've made things too complex in the past. We've had complex class hierarchies and really shown off our CS skills. Sure, there are fewer lines of code, but it takes someone a few days to figure out what's going on and it's easy to write bugs. We believe in a few more lines of code for the sake of clarity and debugging ease. - We're pragmatic about testing. Good code is testable, however, you don't get the same testing ROI for every line of code. We test the areas that are most likely to break, are tricky, or are likely to be changed. We still run thousands of unit tests per build, but we're not testing 1+1 = 2. - Quick builds will set you free! To be a successful engineer, you need to get into ""flow"" (more on that below) as often as you can. That's why we love fast computers, hot reloading, and a great build chain. - We want just enough process to be awesome, and nothing more. We have engineers review issues before a sprint for clarity and completeness. When they submit a PR there's always code review, UI/Unit tests run, then QA manually tests. For the web, we automatically push every PR that's merged into Master. For the app, we do weekly releases where there's a final regression test with all merged PRs from the previous week. Our process prevents bugs/regressions and ultimately saves a lot of time. - Long-running branches are the devil Oftentimes projects will take weeks/months before they are launched. Instead of experiencing a merge/testing hell at the end of the project, we encourage small PRs into master with a ""feature flag"" on the new project that allows employees to use the feature in production but not our users. Cool Things We Do - Every PR has a set of unit tests and automated UI tests run against it. - Every PR is code reviewed. - We have a dedicated QA team to manually check your PR (it requires four testers to sign off). - Every web PR that is approved is automatically deployed (CI). - We've got a beta system that has a flow of production data that helps you develop and test your code without worry of breaking things. - Everything is hosted on Azure. There's plenty of dev/beta/test servers and databases to use. - We are organized into cross-functional pods of 6-10 people with their own Product Manager. They work on a feature across platforms. - We run two-week sprints. The web/app team reviews, estimates, and discusses all sprint issues before they are free to be worked on. - We often pair-program. - Our engineering, marketing, and design team are remote. - We have a skilled design team that handles the HTML/LESS for the apps and websites. Who We're Looking For We want smart engineers who get shit done! Not only do you have to be smart, but you also have to be pragmatic. Let's say you need to paint a room white. Smart and Pragmatic Engineer: A pragmatic engineer fills up a sprayer (rather than use a paintbrush), gets to work, and makes sure they don't paint themselves into a corner. Smart Engineer (but not pragmatic): A smart engineer who's not pragmatic might design a system to change the color of the room in just 30 seconds. Sure, it would take 2 months to build the system but we could change colors so quickly! It's totally optimized for repainting! If the second example sounds like you, please do not apply. We know it's fun to go hog wild in projects but we need to ""get shit done"". There's a whole line of other engineers and designers waiting for that room to get painted so they can do their own work on it. We're a Team, Not a Family It sounds harsh to say, but we're not a Family. I know lots of businesses call themselves a family, but I think it's BS. If you get drunk at work and yell at someone, we're going to let you go (although we would give Grandma a pass at Thanksgiving). It's better to think of TrainerRoad like a sports team. Everyone has their role and their jobs. It's our jobs as managers to bring new hires up to speed, train them in our system, and coach them to be successful. If someone is not performing, we need to talk to them, coach them, find out what's going wrong and where we can improve. If someone just can't perform to the standard level of the team and we can't coach them to get better, we have to let that person go. Another clear sign that you have a high-performance team is that if everyone would ""enthusiastically rehire"" each other for their current roles. It really makes work wonderful when you respect, trust, and value your co-workers. Required Technology Experience TypeScript React Redux/Mobx Git Web Application Experience (interactive web pages) Optional Technology Experience Electron React Native Native iOS/Android Angular C# (We use this on our web backend) Work Remote or in Reno, Nevada We're looking for the best candidate we can find. Don't let a little thing like geography get in the way. Almost all of our development team works remotely. It works very well with the help of Slack, Screen Hero, and GitHub. We expect remote employees to overlap at least 6 hours with the Reno, Nevada office (we're there 8am-5pm Pacific time). Salary We're looking to hire engineers at 110k per year. We can tie that to USD or your local currency (your choice). Perks - Unlimited Vacation - Flexible schedule - Fast computers - Access to the latest fitness devices (power meters, trainers, sensors, etc.) - Co-workers you can learn from Your Resume should have: - Links to any open source projects you've contributed to (not required) - GitHub/StackOverflow username if you'd like - Examples of experience in the ""Optional Technology Experience"" area Your Cover Letter should have: - Let us know why you want to work for TrainerRoad We also Require The best engineers only want to work with other great engineers. We've found that the best way to find great engineers is to have them code, not just answer trivia questions during an interview. That's why we require applications to do a coding challenge as part of their job submission. The right candidate won't find this a pain in the ass; it should be enjoyable. This also weeds out the vast majority of candidates who just fire off resumes everywhere. You can find the coding challenge exercise here: https://github.com/trainerroad/react-race-planner It has a README.md with instructions. Excited about our Company? In your application let us know why you want to work with us and why you think you'd be a good fit for our company. FAQs Do I have to be a cyclist to apply? Nope! Not everyone in the company is a cyclist. It helps if you're an active racer but it's not required. If you are a racer or TrainerRoad user, let us know! What's unlimited vacation mean? The CEO of TrainerRoad used to be an engineer at a Fortune 500 company where life was a grind. We believe employees put out their best work when they are happy and not burnt out. If your brain just isn't working at 3pm, we encourage employees to go home and rest up. It does no one any good to sit and stare at the computer screen for another two hours. We don't track that time. Employees generally shoot for around four weeks of REAL vacation time (no slack checking) but some take more, and some take less. The thing we care about is how productive you can be and how much value you can add to the company. The bottom line, we want people who are passionate and get things done. If you meet those requirements, everything else works itself out. That being said, if you end up taking massive amounts of vacation, come in late, leave early, and aren't producing outstanding work we're going to have a problem. How do you work? We're big believers in Deep Work and Flow. If you're not turning off Slack (snooze), going DND on your phone, and shutting off the world for multiple hours each day, you're probably not being as productive as you could be. The idea is a developer should be able to work on a chunk of work that they understand totally distraction-free for multiple hours. This is the only way the company moves forward. We try to work as pragmatically as we can. We have excellent designers on staff who go from mockups to responsive HTML with light JavaScript work. Development uses GitHub with a strict pull request process. We test, comment, refactor, and improve each other's pull requests. We have a QA team (we call them the Test Team) that checks every PR and does full regression checks for each App release, and we're continually getting more automated. We have an Automation Team that only focuses on writing UI tests to speed up testing and find bugs faster. We can one-click deploy our app on Alpha, Beta, and Production channels. We can one-click deploy our website to Azure (includes smoke tests and warm-up). We have nightly builds that deploy to Test Flight and Google Play. We often pair program via Slack. We work off bi-weekly sprint issue lists on GitHub. Developers get super-fast machines and awesome equipment. If it's going to let you be more productive, we want to spend the money on it. You didn't ask about education, what's required? Please put your education on your resume, but we're not going to reject someone because they don't have a degree in Computer Science. We understand that some of the best and most passionate engineers are self-taught. How long until I hear a response from you guys? What's the process? If you don't follow directions in this job posting, you'll be immediately rejected. If you did follow directions, our goal is to review your coding challenge within a week of submitting your application. All coding challenge reviews are done ""blind""; meaning the reviewer doesn't know your name, resume, or where you're from. Code is code, and it should be reviewed that way without bias. If we like your coding challenge, we'll have you do a coding logic quiz. Nothing super in-depth CS wise. We've found that the candidates who do the best on these exercises are very successful at TrainerRoad. We'll take the top combined coding challenge and coding quiz results and set you up for a monitored programming session where you’ll prove you can get shit done. If all that goes well, we’ll move you on to a team interview which gives a great opportunity to see how we all communicate. If the team likes you, you're hired! I know this sounds like a lot of hoops to jump through, but it works so so well! Once you're on board, you'll love that everyone else went through the same process and is up to ""your level"" in terms of ""get-shit-doneness"". What's with the dishes analogy? Doing your own dishes is a GREAT analogy for our culture. Don't leave shit around for someone else to clean up. Do your own dishes. Do you see someone making a mess? Let's discuss it (in a productive manner) so that we can nip that behavior in the bud. We know we're really doing well when someone points out a manager not ""doing their dishes"" or causing an extra headache for a process that doesn't add value (it happens). Seriously, we need employees to call managers out on this. I'm the CEO writing this; please oh please tell me if I'm messing up or not walking the talk. This is the longest job posting ever, when does it end? Right now! Congrats if you made it this far! We look forward to looking at your resume and coding challenge. TrainerRoad is an equal opportunity employer. TrainerRoad believes that Black Lives Matter and is proud to have raised $64k for the NAACP Legal Defense Fund. You can view our core values here. 


"	"Frontend Developer"	"reactjs,typescript,mobx,ecmascript-6,react-native"	"unitedstate"	"
                        –
Reno, NV                    "
"3D Senior Software Engineer"	"https://i.stack.imgur.com/1wmGQ.jpg"				"Full-time"	"Mid-Level, Senior"	"Founded in 2003, E4D Technologies is a high-tech medical device company focused on 3D digitizing applications. Lasers, custom optics, 3D rendering, custom UIs, real-time manipulation of gigabytes of 3D data, and robotics, are but a few technologies to be found in our products. We offer a competitive salary that is commensurate with experience as well as excellent benefits, which include medical and dental plans, company paid short term, long term disability plans, life insurance, 15 days Paid Time Off to start, company paid holidays, 401(k) with 50% matching, casual and relaxed work environment….just to name a few."	"Graphics/Game Developer"	""	"unitedstate"	"
                        –
Richardson, TX                    "
"Software Engineer IoT"	"https://i.stack.imgur.com/jPl1I.jpg"				"Full-time"	"Mid-Level, Senior"	"Die wearTell Deutschland GmbH entwickelt Soft- und Hardwarelösungen, mit denen Prozesse der industriellen Fertigung mittels Körperschall überwacht werden. Als Software Engineer bei wearTell im Bereich IoT liegt der Fokus auf der Entwicklung eines embedded Linux-Geräts, welches Daten verschiedener Sensoriken verarbeitet, um daraus eine verlässliche Prozessüberwachung zu ermöglichen. Um dieses Ziel zu erreichen, muss unsere Hard- und Software dauerhaft fehlerfrei und zuverlässig arbeiten. Daher ist uns ein hoher Qualitätsstandard wichtig und wir nehmen uns die Zeit sauber zu entwickeln. Deine Aufgaben Was wir erwarten Wer wir sind/​Was wir bieten Bei Interesse sende bitte Deine Bewerbung an career@​weartell.​com"	"Embedded Developer"	"rust,java,linux,embedded"	"unitedstate"	"
                        –
Tulsa, OK, USA                    "
"Frontend Engineer - Remote"	"https://cdn.sstatic.net/careers/Img/ico-no-company-logo.svg?v=15d9692a3221"				"Full-time"	"Frontend Developer"	"Reporting to the head of Platform Development, the frontend engineer role will translate the UI/UX design wireframes to implementation of the user-facing elements of the application. You will work with the UI/UX designer and bridge the gap between graphical design and technical implementation, taking an active role on both sides and defining how the application looks as well as how it works. Day-to-day tasks will include, but are not limited to: Key Skills: The ideal candidate for this role will be comfortable with backend development as well, with an expected balance of 75% frontend, 25% backend. Familiarity with C#, API design, and microservice architectures is preferred. Benefits"	"null"	"html5,css3,angularjs,c"	"unitedstate"	"
                        –
Stafford, TX                    "
"Senior Android Engineer ( Remote )"	"https://grnhse-ghr-prod-s2.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/145/800/original/current_icon.png"				"Full-time"	"Mobile Developer"	"What is Current Mobile?

Our mission as a company is to enable budget-conscious consumers to earn additional passive income from their everyday habits. We have millions of monthly users and have achieved over 2,500% revenue growth in 2020. Our users earn millions of dollars a year in rewards by using our products.

Senior Android Engineer For Our Engagement Team The larger organization is split into cross-functional product teams. The Engagement team consists of 3 Android Engineers, 2 Backend Engineers, 1 QA Engineer and 1 Product Manager. We're focused on increasing daily users' earning, improving onboarding, and ultimately increasing retention. In the past 2 months, we have… This work, combined with the hard work from our peers in the Revenue Team, has led to over a 3x increase in user lifetime value! By the end of this year, we had hoped to sustainably grow to over 400,000 DAU (which we have already surpassed)! We operate in 2-week sprints, release Android updates weekly, and control specific functionality through a powerful split testing and feature flagging system. Our Product Managers are committed to measuring and quantifying the impact of every change before we move on. The team varies between working collaboratively and independently. We want everyone to feel encouraged to take a feature from idea through development and post-release all on their own. But, some problems are best solved together, in which case pair programming, whiteboarding sessions, and discussions are frequent. Current has 15 engineers out of 32 people in total, distributed around the world (including Chicago, Mexico, California, Argentina, and Croatia). The Engagement team is based in Chicago, Hermosillo, Juárez, Mexico City, and Seoul. Technology We rely heavily on the following technologies: Role Expectations You’ll be joining the Android team, working on one (or more!) of the key product areas. The specific projects will vary each sprint. As a member of the backend team, you’ll find yourself... We are looking for an additional senior-level Android engineer to join the team. We offer a generous salary based on experience and location, stock options, and bonuses. We'd love to talk with you if… Interview Process The process is normally a 30-minute phone interview, a 2-hour technical and management interview, 1 hour interview with a Product Manager, and 30 minute final-round exec/VP interview."	"null"	"java,android,kotlin,github"	"unitedstate"	"
                        –
Stafford, TX                    "
"Sr. Node Engineer (Chicago/Plano)"	"https://i.stack.imgur.com/kvpbb.png"				"Full-time"	"Senior"	"Who we are: Our story might surprise you. We’re the world’s largest restaurant company—encompassing KFC, Pizza Hut, and Taco Bell—but there’s a lot more going on behind the scenes than just frying chicken, baking pizzas, and serving up tacos. We put this delicious food in the hands of customers through apps, websites, kiosks, POS, and other digital dining experiences – and we are only getting started. Here in Chicago, we’re building out a bold team of hackers to help Yum! Brands deliver the next generation of software to 49,000 restaurants in more than 145 countries. That’s a huge responsibility, which is why we’re on a mission to find the most fearless engineers to join our software startup within Yum!. Yum!'s vision for the future is simple: a world with more Yum!: with our iconic brands in more places, and more ways for consumers to access them. The key and not-so-secret ingredient in our recipe for growth is our unrivaled talent and culture, which fuels our results. And like all companies who win consistently, our brands, employees, and franchisees will need to continually adjust to stay relevant now and in the future. The software we’re building does just that: it serves people in new ways to make team members more productive and customers happier. What we need: Our dynamic eCommerce Platform team is rapidly growing as we optimize our digital ordering channels and technology innovations to create competitive advantages for our restaurants around the globe. We are seeking a Senior Node Engineer to make a monumental impact on our stack. While this is a backend position, there is opportunity for full stack contribution. You will: You have: We prefer experience with: A few of our perks:"	"Backend Developer, DevOps"	"rest,node.js,microservices,devops,sql"	"unitedstate"	"
                        –
Plano, TX                    "
"BAT/Rewards Engineer"	"https://i.stack.imgur.com/3F3Av.png"				"Full-time"	"Mid-Level, Senior"	"Brave is looking for an experienced Senior Software Engineer to work on advancing the Brave Rewards platform on our Chromium­ based desktop browser. This position is on the forefront of advancing how BAT can be used to reward both content creators and users. Requirements Bonus Points"	"Bitcoin, Computer Software, Enterprise Web Solutions"	"c++,chromium,javascript,ethereum,cryptocurrency"	"unitedstate"	"
                        –
San Francisco, CA                    "
"Snr Backend Engineer: life-changing mission, US/Canada location"	"https://i.stack.imgur.com/8x5g0.png"				"Full-time"	"Backend Developer"	"We’re seeking a Senior Backend Engineer to join our FullFocus™ digital viewer team. In this role you’ll refine and implement new features for our slide viewer application. This is an extraordinary opportunity to be part of a high-performing team and to pursue a life-changing mission. This position can be fully remote for US and Canada-based applicants. US applicants may also opt to work from our NYC office, when it's safe to return. Key responsibilities: About you:"	"Computer Software, Digital Pathology, Health Care"	"python,nosql,containers,cloud,c#"	"unitedstate"	"
                        –
New York, NY                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"Software Development Manager, Content &amp; Blogging Platform (R8214)"	"https://i.stack.imgur.com/pGd4W.jpg"				"Full-time"	"Manager"	"Our Opportunity: Chewy is hiring a Software Development Manager for our Content and Blogging Platform Software Engineering team in Minneapolis, MN. The Content and Blogging Platform team is responsible for hosting and supporting the creation and delivery of content through Chewy’s blogs, e-commerce site and mobile apps. The goal of the team is to build a platform that supports the creation of engaging content that is optimized for the audience who will receive it and to serve that content through a low latency, highly scalable delivery architecture. This role offers a tremendous opportunity for professional growth in the leading online pet retailer in the US. What You'll Do: What You'll Need: Bonus:"	"eCommerce, Pet Services, Pets"	"amazon-web-services,php,java,drupal,wordpress"	"unitedstate"	"
                        –
Minneapolis, MN                    "
"QA Engineer (Mid-Level - Senior) (Remote)"	"https://grnhse-ghr-prod-s2.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/145/800/original/current_icon.png"				"Full-time"	"QA/Test Developer"	"What is Current Mobile

Current enables millions of budget-conscious consumers to earn additional income from their everyday habits. The larger organization is split into cross-functional product teams.

 In the past 2 months, we have… Current has 15 engineers out of 32 people in total, distributed around the world (including Chicago, Mexico, California, Argentina, and Croatia). The Charge Screen team is based in Chicago, Los Angeles, and Ukraine. 
The Charge Screen Team
The Charge Screen team consists of 2 Android Engineers, 1 Backend Engineer, and 1 Product Manager. We're focused on allowing users to earn extra income for charging and unlocking their phone. We operate in 2-week sprints, release Android updates weekly, and control specific functionality through a powerful split testing and feature flagging system. Our Product Managers are committed to measuring and quantifying the impact of every change before we move on. The team varies between working collaboratively and independently. We want everyone to feel encouraged to take a feature from an idea through development and post-release all on their own. But, some problems are best solved together, in which case pair programming, white-boarding sessions, and discussions are frequent. Technology We rely heavily on the following technologies: Role Expectations You’ll be joining the Charge Screen team as a QA engineer, working on all of the areas/projects mentioned above. The specific projects will vary each sprint. To perform the duties of this position, you’ll need to have the following skills: We are looking for a QA engineer to join the team. We offer a generous salary based on experience and location. We'd love to talk with you if…"	"null"	"unit-testing,qa,testing,ruby,jira"	"unitedstate"	"
                        –
Stafford, TX                    "
"Python/Perl Developer"	"https://i.stack.imgur.com/i4Bni.png"				"Full-time"	"Junior, Mid-Level, Senior"	"We are one of the largest independent booksellers on the Amazon and eBay marketplaces, among other online marketplaces. Headquartered in Houston, we sell purely online and ship from four warehouses around the world. We started in a garage in 2006 and have since expanded to 150 employees globally. Our main competitive advantage is our in-house software, which runs every aspect of our business and possesses capabilities unseen in our industry. Most of our competitors run their companies off shrink-wrapped 3rd-party vendor software -- and it shows. We are not a software company, but software is at the core of what we do."	"Retail Industry"	""	"unitedstate"	"
                        –
Houston, TX                    "
"Full Stack Developer"	"https://cdn.sstatic.net/careers/Img/ico-no-company-logo.svg?v=15d9692a3221"				"Full-time"	"Full Stack Developer"	"Building the next big thing:
Just as Netflix leverages algorithms to match us with personalized recommendations for film, as Spotify does for music and as does Amazon for shopping; The Room will use thousands of data points to catalog the capabilities, passions, and aspirations of the world's top talent; and use this insight to match this talent to each other and to opportunities that can accelerate their impact. We have plans to scale to 10-15 million members in the next few years!

The mission of the Technology Team is to build the technology platform that will enable us to connect our talent to opportunities at scale when we reach our community of 10M members from across the world.

As a Full Stack Developer within the Tech Team, your role will be to support in building a world-class technology platform to enable us to meet our goal of connecting talent to opportunities at scale. You will design, create and build tech that will serve the needs of both our internal (staff) and external (top talent) customers. More specifically, your role will be to:-"	"null"	"asp-net,react,c"	"unitedstate"	"
                        –
Stafford, TX                    "
"Staff Site Reliability Engineer"	"https://i.stack.imgur.com/SpasH.png"				"Full-time"	"Senior, Lead, Manager"	""	"System Administrator"	""	"unitedstate"	"
                        –
New York, NY                    "
"Software Engineer - On Campus Recruiting"	"https://i.stack.imgur.com/OUBF1.png"				"Full-time"	"Junior"	""	"Embedded Developer"	""	"unitedstate"	"
                        –
New York, NY                    "
"Lead Frontend Engineer"	"https://grnhse-ghr-prod-s4.s3.amazonaws.com/external_greenhouse_job_boards/logos/400/010/000/original/Noticed.png"				"Full-time"	"Frontend Developer"	"Noticed is an eCommerce, optimization, and marketing agency for D2C lifestyle brands. We’re experts at our craft and partner with the best ecommerce platforms in the world to drive growth and profitably for your business."	"null"	""	"unitedstate"	"
                        –
Stafford, TX                    "
"Algo Developer - On Campus Recruiting"	"https://i.stack.imgur.com/OUBF1.png"				"Full-time"	"Junior"	""	"Data Scientist"	""	"unitedstate"	"
                        –
New York, NY                    "
"Engineering Manager, Architecture"	"https://i.stack.imgur.com/SpasH.png"				"Full-time"	"Lead, Manager"	""	"Education Technology, eLearning"	""	"unitedstate"	"
                        –
New York, NY                    "
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
"undefined"	"undefined"				"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"	"undefined"
